StoreName,Online/Offline,URL,FullAddress,CountryShortCode,Latitude,Longitude,DataFeedURL,$$
"""Curtis Liquors""",online,"""http://www.curtisliquors.com""","""486 Columbia Street South Weymouth MA 2190""",US,42.1809254,-70.9718945,https://www.curtisliquors.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Dion's Wine""",online,"""http://www.dionswine.com""","""119 River St. Waltham MA 2453""",US,42.3698201,-71.2202732,https://www.dionswine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Drinkbetter.com""",online,"""http://www.drinkbetter.com""","""117 Washington Ave North Haven CT 6473""",US,41.3956999,-72.8579173,https://www.drinkbetter.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Dub's Liquors and Fine Wines""",online,"""http://www.dubsonline.com""","""30 Chauncy St. Mansfield MA 2048""",US,42.0321874,-71.2164213,https://www.dubsonline.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Elephant Wine""",online,"""http://www.elephantwine.com""","""315 Kearny Ave. Kearny NJ 7032""",US,40.7617942,-74.1504663,http://www.elephantwine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Elevation Wine Fund""",online,"""http://www.elevationwinefund.com""","""3291 St. Helena Highway North St. Helena CA 94574""",US,38.536767,-122.509253,https://www.elevationwinefund.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Kendall FineWineSpirits""",online,"""http://www.finewinespirits.com""","""10590 North Kendall Drive Miami FL 33176""",US,25.6865024,-80.3645043,https://www.finewinespirits.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Four Seasons Wine and Liquor""",online,"""http://www.fourseasonswine.com""","""333 Russell St. Hadley MA 1035""",US,42.3556383,-72.5542879,https://www.fourseasonswine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Garnet Wines & Liquors""",online,"""http://www.garnetwine.com""","""929 Lexington Avenue New York NY 10065""",US,40.7679629,-73.9636016,http://www.garnetwine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""GetWineOnline.com""",online,"""http://www.getwineonline.com""","""8 Joyce Rd New Rochelle NY 10801""",US,40.916542,-73.7788578,http://www.getwineonline.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Valley Discount Wines""",online,"""http://www.getwines.com""","""555 Main Street Ansonia CT 6401""",US,41.3356445,-73.0755296,http://www.getwines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Gomes Liquors""",online,"""http://www.gomesliquors.com""","""58 Ashby State Rd Fitchburg MA 1420""",US,42.6036915,-71.8013072,https://www.gomesliquors.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Gotham Wines & Liquors""",online,"""http://www.gothamwines.com""","""2517 Broadway New York NY 10025""",US,40.793304,-73.973131,http://www.gothamwines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Grand Wine and Liquor""",online,"""http://www.grandliquors.com""","""30-05 31st St. Astoria NY 11102""",US,40.766426,-73.921397,https://www.grandliquors.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Grapes 2 Go""",online,"""http://www.grapes2go.com""","""588 New Loudon Rd. Latham NY 12110""",US,42.7269599,-73.7610335,http://www.grapes2go.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Harry's Wine & Liquor Market""",online,"""http://www.harryswine.com""","""2094 Post Rd Fairfield CT 6824""",US,41.1409964,-73.2687216,http://www.harryswine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""HWM Inc.""",online,"""http://www.hudsonwinemarket.com""","""1638 Schlosser Street Fort Lee NJ 7024""",US,40.8497693,-73.9701257,https://www.hudsonwinemarket.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""IM Gan Discount Liquors""",online,"""http://www.imgans.com""","""380 Warwick Avenue Warwick RI 2888""",US,41.7654246,-71.4046105,https://www.imgans.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""International Wine Shop""",online,"""http://www.internationalwineshop.com""","""732 Post Road East Westport CT 6880""",US,41.1370341,-73.3401935,http://www.internationalwineshop.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Jersey Fine Wines""",online,"""http://www.jerseyfinewine.com""","""1260 Springfield Ave. New Providence NJ 7974""",US,40.7052812,-74.4045855,http://www.jerseyfinewine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Kindred Spirits & Wine""",online,"""http://www.kindredspiritsandwine.com""","""2480 Black Road Turnpike Fairfield CT 6825""",US,41.1848389,-73.2554935,http://www.kindredspiritsandwine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Kreston's Wine & Spirits""",online,"""http://www.krestonwines.com""","""904 Concord Ave Wilmington DE 19802""",US,39.7628584,-75.5427271,http://www.krestonwines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Lake Buy-Rite""",online,"""http://www.lakeliquor.com""","""299 Hawkins Avenue Ronkonkoma NY 11779""",US,40.8196367,-73.1067915,https://www.lakeliquor.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""ShopRite Liquors Laurenti Wines""",online,"""http://www.laurentiwines.com""","""3161 Quakerbridge Road Mercerville NJ 8619""",US,40.2484092,-74.6847925,http://www.laurentiwines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Lehigh Liquors""",online,"""http://www.lehighwines.com""","""2929 Westchester Ave. Bronx NY 10461""",US,40.8467315,-73.8329571,https://www.lehighwines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Liquor Outlet Wine Cellars""",online,"""http://www.liquoroutletwinecellars.com""","""289 Myrtle Avenue Boonton NJ 7005""",US,40.9054581,-74.4028213,https://www.liquoroutletwinecellars.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Liquor World""",online,"""http://www.liquorworldma.com""","""365 West Central Street Franklin MA 2038""",US,42.088321,-71.4119955,http://www.liquorworldma.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Little Brothers Beverage Outlet""",online,"""http://www.littlebroswine.com""","""67 Church Street Flemington NJ 8822""",US,40.5051581,-74.8542769,http://www.littlebroswine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Madison Wine Exchange""",online,"""http://www.madisonwinexchange.com""","""188 Boston Post Road Madison CT 6443""",US,41.2814066,-72.6318868,http://www.madisonwinexchange.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Fusion Fine Wine & Spirits""",online,"""http://www.mailmybooze.com""","""5410 Highway 90 Pace FL 32571""",US,30.6031032,-87.1028919,http://www.mailmybooze.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Malloy's Finest Wine & Spirits""",online,"""http://www.malloysfinest.com""","""1020 Maple Avenue Lisle IL 60532""",US,41.7873018,-88.0725401,http://www.malloysfinest.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Marty's Fine Wines""",online,"""http://www.martysfinewine.com""","""675 Washington St. Newton MA 2460""",US,42.3535682,-71.2010595,https://www.martysfinewine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""MEGA-BEV - Beer Wine and Liquor""",online,"""http://www.megabev.com""","""5570 Beckley Road Battle Creek MI 49015""",US,42.259848,-85.1871278,https://www.megabev.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Michael-Towne Wines & Spirits""",online,"""http://www.michaeltownewines.com""","""73 Clark Street Brooklyn NY 11201""",US,40.6976099,-73.9932384,https://www.michaeltownewines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Midway Wine & Liquors""",online,"""http://www.midwaywines.com""","""973 Central Park Ave Scarsdale NY 10583""",US,40.9908201,-73.8231265,https://www.midwaywines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Mister Wright Fine Wines & Spirits""",online,"""http://www.misterwrightfinewines.com""","""1593 Third Avenue New York NY 10128""",US,40.7808657,-73.9520224,http://www.misterwrightfinewines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""M & D Liquors""",online,"""http://www.mndfinewine.com""","""501 So. Clinton Ave. Trenton NJ 8611""",US,40.2138962,-74.7542346,http://www.mndfinewine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Mount Carmel Wines & Spirits""",online,"""http://www.mountcarmelwines.com""","""609 East 187th Street Bronx NY 10458""",US,40.8554735,-73.8871377,http://www.mountcarmelwines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Mountview Wine and Liquor""",online,"""http://www.mountviewwine.com""","""727 Rubber Ave. Naugatuck CT 6770""",US,41.493873,-73.077868,https://www.mountviewwine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Needham Center Fine Wines""",online,"""http://www.needhamcenterfinewines.com""","""1013 Great Plains Ave Needham MA 2492""",US,42.2804883,-71.2370899,https://www.needhamcenterfinewines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Nejaime's Wine Cellar""",online,"""http://www.nejaimeswine.com""","""3 Elm St. Stockbridge MA 1262""",US,42.2810167,-73.3101052,https://www.nejaimeswine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Newton Wines & Spirits""",online,"""http://www.newtonwines.com""","""588 New Loudon Rd Ste 1 Latham NY 12110""",US,42.7269599,-73.7610335,http://www.newtonwines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Wine Cellars of Watchung""",online,"""http://www.njwinecellar.com""","""1601 US 22 Watchung NJ 7069""",US,40.6441576,-74.4157387,http://www.njwinecellar.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""NJWineSeller.com - Cranford""",online,"""http://www.njwineseller.com""","""6 South Avenue Cranford NJ 7016""",US,40.6542306,-74.3051525,http://www.njwineseller.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Norfolk Wine and Spirits""",online,"""http://www.norfolkwineandspirits.com""","""206 Dedham St. Norfolk MA 2056""",US,42.0915739,-71.2989745,http://www.norfolkwineandspirits.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Garden City Discount Liquors""",online,"""http://www.nydiscountwine.com""","""711 Stewart Avenue Garden City NY 11530""",US,40.7336649,-73.6083622,https://www.nydiscountwine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""NY Wine & Liquor Warehouse""",online,"""http://www.nywineandliquorwarehouse.com""","""75 Vanderburgh Ave Troy NY 12180""",US,42.6960042,-73.6902503,http://www.nywineandliquorwarehouse.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Pacific Wine Merchants""",online,"""http://www.pacificwinemerchants.com""","""210 East A Street Upland CA 91786""",US,34.0946186,-117.6481543,https://www.pacificwinemerchants.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Palumbo Liquors""",online,"""http://www.palumboliquors.com""","""547 Main St. Medfield MA 2052""",US,42.1859357,-71.3084391,https://www.palumboliquors.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Paragon Spirits - Purveyors of the Fine & Rare""",online,"""http://www.paragonspirits.com""","""12559 Hwy 101 N. Smith River CA 95567""",US,41.9488227,-124.1977239,https://www.paragonspirits.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Shoprite Liquors of Pearl River""",online,"""http://www.pearlriverwines.com""","""46 North Middleton Road Pearl River NY 10965""",US,41.0615584,-74.0116618,http://www.pearlriverwines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Petrock's Liquors""",online,"""http://www.petrocksliquors.com""","""419 Amwell Rd. Hillsborough NJ 8844""",US,40.4988902,-74.6530117,https://www.petrocksliquors.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Post Wines and Spirits""",online,"""http://www.postwines.com""","""510 Jericho Turnpike Syosset NY 11791""",US,40.8102205,-73.4975195,http://www.postwines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""The Redd Collection""",online,"""http://www.reddcollection.com""","""Sonoma County Petaluma CA 94954""",US,38.232417,-122.6366524,https://www.reddcollection.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Regency Liquor""",online,"""http://www.regencyliquor.com""","""16100 Marsh Rd, Unit 201 Winter Garden FL 34787 """,US,28.5168825,-81.6225563,http://www.regencyliquor.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
